YYYYMM,spot_price
202108,62.24
202107,65.9
202106,63.73
202105,59.16
202104,56.04
202103,56.52
202102,52.37
202101,46.69
202012,40.64
202011,34.69
202010,30.82
202009,31.9
202008,35.8
202007,31.07
202006,26.24
202005,20.52
202004,12.29
202003,34.68
202002,48.24
202001,56.49
201912,59.08
201911,56.76
201910,53.66
201909,55.37
201908,52.22
201907,57.87
201906,56.56
201905,62.64
201904,63.91
201903,60.17
201902,56.99
201901,53.34
201812,50.12
201811,57.0
201810,69.68
201809,69.75
201808,65.76
201807,67.92
201806,64.42
201805,66.5
201804,62.27
201803,58.55
201802,58.55
201801,60.38
201712,54.88
201711,54.07
201710,47.93
201709,45.15
201708,41.15
201707,40.56
201706,37.4
201705,41.59
201704,43.63
201703,43.95
201702,45.01
201701,43.91
201612,43.07
201611,36.4
201610,39.17
201609,34.47
201608,34.27
201607,33.32
201606,37.9
201605,37.81
201604,32.02
201603,28.12
201602,20.89
201601,21.65
201512,26.92
201511,34.3
201510,38.7
201509,39.15
201508,35.53
201507,45.53
201506,53.38
201505,51.76
201504,48.06
201503,40.44
201502,43.03
201501,39.32
201412,46.73
201411,66.8
201410,75.43
201409,87.15
201408,89.71
201407,95.34
201406,100.11
201405,96.08
201404,96.59
201403,94.91
201402,95.41
201401,93.17
201312,94.51
201311,90.16
201310,93.43
201309,99.54
201308,99.24
201307,99.5
201306,92.27
201305,93.66
201304,93.94
201303,97.24
201302,98.5
201301,98.13
201212,93.43
201211,92.06
201210,94.44
201209,98.29
201208,97.12
201207,90.58
201206,88.72
201205,101.65
201204,108.82
201203,108.86
201202,106.11
201201,100.06
201112,98.16
201111,102.53
201110,98.02
201109,96.47
201108,95.38
201107,100.39
201106,101.56
201105,104.77
201104,110.88
201103,101.21
201102,88.62
201101,83.68
201012,81.94
201011,76.48
201010,74.38
201009,68.38
201008,68.7
201007,68.51
201006,69.28
201005,68.75
201004,75.06
201003,73.19
201002,70.3
201001,71.05
200912,68.38
200911,70.35
200910,68.44
200909,65.27
200908,64.46
200907,58.82
200906,62.74
200905,50.44
200904,40.8
200903,39.67
200902,35.33
200901,33.34
200812,35.5
200811,48.87
200810,69.66
200809,94.21
200808,110.09
200807,125.33
200806,125.77
200805,115.61
200804,104.64
200803,95.24
200802,86.82
200801,83.08
200712,83.08
200711,82.55
200710,77.29
200709,71.47
200708,65.48
200707,66.26
200706,61.02
200705,57.08
200704,55.05
200703,51.04
200702,48.48
200701,46.79
200612,51.58
200611,49.03
200610,50.62
200609,57.98
200608,63.91
200607,64.73
200606,62.94
200605,62.12
200604,60.11
200603,53.37
200602,54.17
200601,53.07
200512,50.36
200511,50.39
200510,54.67
200509,56.88
200508,55.84
200507,50.01
200506,46.35
200505,41.74
200504,43.92
200503,43.59
200502,38.73
200501,35.26
200412,34.47
200411,38.55
200410,41.27
200409,36.16
200408,35.86
200407,33.68
200406,31.27
200405,32.69
200404,30.25
200403,29.6
200402,27.55
200401,26.29
200312,24.95
200311,23.16
200310,22.63
200309,21.99
200308,23.09
200307,23.4
200306,22.83
200305,21.5
200304,21.83
200303,26.73
200302,28.21
200301,24.92
200212,22.18
200211,19.8
200210,21.95
200209,23.01
200208,21.32
200207,20.46
200206,19.84
200205,20.19
200204,19.62
200203,17.35
200202,14.04
200201,12.72
200112,11.96
200111,12.29
200110,14.93
200109,18.27
200108,18.79
200107,19.88
200106,20.22
200105,20.95
200104,20.55
200103,19.48
200102,21.05
200101,19.84
200012,19.61
200011,27.49
200010,27.04
200009,26.34
200008,25.37
200007,23.03
200006,25.3
200005,22.81
200004,21.89
200003,22.54
200002,22.12
200001,20.54
199912,19.65
199911,18.07
199910,17.55
199909,17.1
199908,14.77
199907,13.22
199906,12.06
199905,10.97
199904,8.62
199903,8.01
199902,6.18
199901,5.34
199812,5.46
199811,7.16
199810,9.89
199809,8.69
199808,8.39
199807,8.25
199806,7.74
199805,8.38
199804,8.14
199803,8.48
199802,9.15
199801,11.67
199712,12.81
199711,14.54
199710,14.52
199709,14.11
199708,12.94
199707,12.97
199706,13.7
199705,14.45
199704,14.7
199703,16.09
199702,17.72
199701,18.84
199612,17.82
199611,17.27
199610,17.45
199609,16.3
199608,15.29
199607,14.62
199606,14.24
199605,15.82
199604,16.08
199603,14.23
199602,12.76
199601,12.13
199512,10.97
199511,10.25
199510,10.03
199509,10.87
199508,10.23
199507,11.19
199506,11.95
199505,12.32
199504,12.36
199503,11.48
199502,11.31
199501,10.43
199412,10.47
199411,10.67
199410,10.63
199409,10.32
199408,11.4
199407,11.72
199406,11.19
199405,10.7
199404,8.83
199403,8.01
199402,7.38
199401,6.67
199312,7.0
199311,9.06
199310,10.05
199309,10.55
199308,10.46
199307,10.81
199306,11.79
199305,12.96
199304,12.91
199303,12.28
199302,11.58
199301,10.83
199212,10.93
199211,12.29
199210,13.03
199209,12.9
199208,13.23
199207,14.06
199206,13.4
199205,12.03
199204,10.82
199203,9.84
199202,9.4
199201,9.29
199112,9.45
199111,11.46
199110,12.32
199109,11.71
199108,11.64
199107,11.29
199106,10.99
199105,11.53
199104,11.48
199103,10.44
199102,12.28
199101,14.11
199012,18.42
199011,22.77
199010,25.38
199009,23.98
199008,16.57
199007,9.61
199006,7.9
199005,8.61
199004,9.85
199003,11.7
199002,13.4
199001,13.98
198912,13.5
198911,12.64
198910,12.26
198909,11.54
198908,11.32
198907,11.99
198906,12.39
198905,13.12
198904,13.36
198903,11.71
198902,10.57
198901,9.54
198812,8.13
198811,6.18
198810,6.4
198809,7.48
198808,8.25
198807,8.47
198806,9.18
198805,9.65
198804,9.88
198803,8.98
198802,9.17
198801,9.35
198712,9.46
198711,10.89
198710,11.49
198709,11.74
198708,12.57
198707,12.41
198706,11.51
198705,10.93
198704,10.83
198703,9.89
198702,9.42
198701,8.9
198612,6.62
198611,5.56
198610,5.47
198609,5.33
198608,3.67
198607,3.11
198606,4.45
198605,4.91
198604,5.18
198603,6.86
198602,10.82
198601,15.78
198512,17.36
198511,17.16
198510,16.96
198509,16.99
198508,16.98
198507,16.89
198506,17.08
198505,16.98
198504,16.93
198503,16.88
198502,16.64
198501,16.84
198412,18.09
198411,18.0
198410,18.19
198409,18.07
198408,17.93
198407,18.06
198406,17.93
198405,17.87
198404,17.72
198403,17.54
198402,17.75
198401,17.72
198312,17.72
198311,17.72
198310,17.44
198309,17.89
198308,18.0
198307,17.38
198306,17.74
198305,17.79
198304,17.29
198303,17.35
198302,17.06
198301,18.84
198212,19.02
198211,20.14
198210,20.64
198209,20.32
198208,19.88
198207,20.3
198206,20.51
198205,18.85
198204,18.65
198203,17.79
198202,19.41
198201,21.78
198112,21.66
198111,21.85
198110,22.04
198109,21.74
198108,22.61
198107,22.79
198106,23.13
198105,23.75
198104,25.65
198103,25.53
198102,25.53
198101,22.38
198012,20.35
198011,18.61
198010,17.63
198009,17.56
198008,16.85
198007,16.91
198006,16.63
198005,17.04
198004,16.13
198003,15.41
198002,14.87
198001,14.47
197912,13.6
197911,13.48
197910,13.12
197909,13.09
197908,14.14
197907,13.35
197906,8.97
197905,8.47
197904,7.45
197903,6.66
197902,5.87
197901,5.79
197812,5.4
197811,5.11
197810,5.21
197809,5.12
197808,5.09
197807,5.26
197806,5.63
197805,4.87
197804,5.15
197803,5.0
197802,5.59
197801,5.17
197712,5.52
197711,5.59
197710,6.55
197709,6.98
197708,6.93
197707,6.9
